model,pretrain
adv_inception_v3,in1k-adv
bat_resnext26ts,in1k
beit_base_patch16_224,in21k-selfsl
beit_base_patch16_384,in21k-selfsl
beit_large_patch16_224,in21k-selfsl
beit_large_patch16_384,in21k-selfsl
beit_large_patch16_512,in21k-selfsl
botnet26t_256,in1k
cait_m36_384,in1k-dist
cait_m48_448,in1k-dist
cait_s24_224,in1k-dist
cait_s24_384,in1k-dist
cait_s36_384,in1k-dist
cait_xs24_384,in1k-dist
cait_xxs24_224,in1k-dist
cait_xxs24_384,in1k-dist
cait_xxs36_224,in1k-dist
cait_xxs36_384,in1k-dist
coat_lite_mini,in1k
coat_lite_small,in1k
coat_lite_tiny,in1k
coat_mini,in1k
coat_tiny,in1k
convit_base,in1k
convit_small,in1k
convit_tiny,in1k
convmixer_1024_20_ks9_p14,in1k
convmixer_1536_20,in1k
convmixer_768_32,in1k
crossvit_15_240,in1k
crossvit_15_dagger_240,in1k
crossvit_15_dagger_408,in1k
crossvit_18_240,in1k
crossvit_18_dagger_240,in1k
crossvit_18_dagger_408,in1k
crossvit_9_240,in1k
crossvit_9_dagger_240,in1k
crossvit_base_240,in1k
crossvit_small_240,in1k
crossvit_tiny_240,in1k
cspdarknet53,in1k
cspresnet50,in1k
cspresnext50,in1k
deit_base_distilled_patch16_224,in1k-dist
deit_base_distilled_patch16_384,in1k-dist
deit_base_patch16_224,in1k
deit_base_patch16_384,in1k
deit_small_distilled_patch16_224,in1k-dist
deit_small_patch16_224,in1k
deit_tiny_distilled_patch16_224,in1k-dist
deit_tiny_patch16_224,in1k
densenet121,in1k
densenet161,in1k
densenet169,in1k
densenet201,in1k
densenetblur121d,in1k
dla102,in1k
dla102x,in1k
dla102x2,in1k
dla169,in1k
dla34,in1k
dla46_c,in1k
dla46x_c,in1k
dla60,in1k
dla60_res2net,in1k
dla60_res2next,in1k
dla60x,in1k
dla60x_c,in1k
dm_nfnet_f0,in1k
dm_nfnet_f1,in1k
dm_nfnet_f2,in1k
dm_nfnet_f3,in1k
dm_nfnet_f4,in1k
dm_nfnet_f5,in1k
dm_nfnet_f6,in1k
dpn107,in1k
dpn131,in1k
dpn68,in1k
dpn68b,in1k
dpn92,in1k
dpn98,in1k
eca_botnext26ts_256,in1k
eca_halonext26ts,in1k
eca_nfnet_l0,in1k
eca_nfnet_l1,in1k
eca_nfnet_l2,in1k
eca_resnet33ts,in1k
eca_resnext26ts,in1k
ecaresnet101d,in1k
ecaresnet101d_pruned,in1k
ecaresnet269d,in1k
ecaresnet26t,in1k
ecaresnet50d,in1k
ecaresnet50d_pruned,in1k
ecaresnet50t,in1k
ecaresnetlight,in1k
efficientnet_b0,in1k
efficientnet_b1,in1k
efficientnet_b1_pruned,in1k
efficientnet_b2,in1k
efficientnet_b2_pruned,in1k
efficientnet_b3,in1k
efficientnet_b3_pruned,in1k
efficientnet_b4,in1k
efficientnet_el,in1k
efficientnet_el_pruned,in1k
efficientnet_em,in1k
efficientnet_es,in1k
efficientnet_es_pruned,in1k
efficientnet_lite0,in1k
efficientnetv2_rw_m,in1k
efficientnetv2_rw_s,in1k
efficientnetv2_rw_t,in1k
ens_adv_inception_resnet_v2,in1k-adv
ese_vovnet19b_dw,in1k
ese_vovnet39b,in1k
fbnetc_100,in1k
gc_efficientnetv2_rw_t,in1k
gcresnet33ts,in1k
gcresnet50t,in1k
gcresnext26ts,in1k
gcresnext50ts,in1k
gernet_l,in1k
gernet_m,in1k
gernet_s,in1k
ghostnet_100,in1k
gluon_inception_v3,in1k
gluon_resnet101_v1b,in1k
gluon_resnet101_v1c,in1k
gluon_resnet101_v1d,in1k
gluon_resnet101_v1s,in1k
gluon_resnet152_v1b,in1k
gluon_resnet152_v1c,in1k
gluon_resnet152_v1d,in1k
gluon_resnet152_v1s,in1k
gluon_resnet18_v1b,in1k
gluon_resnet34_v1b,in1k
gluon_resnet50_v1b,in1k
gluon_resnet50_v1c,in1k
gluon_resnet50_v1d,in1k
gluon_resnet50_v1s,in1k
gluon_resnext101_32x4d,in1k
gluon_resnext101_64x4d,in1k
gluon_resnext50_32x4d,in1k
gluon_senet154,in1k
gluon_seresnext101_32x4d,in1k
gluon_seresnext101_64x4d,in1k
gluon_seresnext50_32x4d,in1k
gluon_xception65,in1k
gmixer_24_224,in1k
gmlp_s16_224,in1k
halo2botnet50ts_256,in1k
halonet26t,in1k
halonet50ts,in1k
haloregnetz_b,in1k
hardcorenas_a,in1k
hardcorenas_b,in1k
hardcorenas_c,in1k
hardcorenas_d,in1k
hardcorenas_e,in1k
hardcorenas_f,in1k
hrnet_w18,in1k
hrnet_w18_small,in1k
hrnet_w18_small_v2,in1k
hrnet_w30,in1k
hrnet_w32,in1k
hrnet_w40,in1k
hrnet_w44,in1k
hrnet_w48,in1k
hrnet_w64,in1k
ig_resnext101_32x16d,ig1b-wsl
ig_resnext101_32x32d,ig1b-wsl
ig_resnext101_32x48d,ig1b-wsl
ig_resnext101_32x8d,ig1b-wsl
inception_resnet_v2,in1k
inception_v3,in1k
inception_v4,in1k
jx_nest_base,in1k
jx_nest_small,in1k
jx_nest_tiny,in1k
lambda_resnet26rpt_256,in1k
lambda_resnet26t,in1k
lambda_resnet50ts,in1k
lamhalobotnet50ts_256,in1k
legacy_senet154,in1k
legacy_seresnet101,in1k
legacy_seresnet152,in1k
legacy_seresnet18,in1k
legacy_seresnet34,in1k
legacy_seresnet50,in1k
legacy_seresnext101_32x4d,in1k
legacy_seresnext26_32x4d,in1k
legacy_seresnext50_32x4d,in1k
levit_128,in1k-dist
levit_128s,in1k-dist
levit_192,in1k-dist
levit_256,in1k-dist
levit_384,in1k-dist
mixer_b16_224,in1k
mixer_b16_224_miil,in21k
mixer_l16_224,in1k
mixnet_l,in1k
mixnet_m,in1k
mixnet_s,in1k
mixnet_xl,in1k
mnasnet_100,in1k
mobilenetv2_100,in1k
mobilenetv2_110d,in1k
mobilenetv2_120d,in1k
mobilenetv2_140,in1k
mobilenetv3_large_100,in1k
mobilenetv3_large_100_miil,in21k
mobilenetv3_rw,in1k
nasnetalarge,in1k
nf_regnet_b1,in1k
nf_resnet50,in1k
nfnet_l0,in1k
pit_b_224,in1k
pit_b_distilled_224,in1k-dist
pit_s_224,in1k
pit_s_distilled_224,in1k-dist
pit_ti_224,in1k
pit_ti_distilled_224,in1k-dist
pit_xs_224,in1k
pit_xs_distilled_224,in1k-dist
pnasnet5large,in1k
regnetx_002,in1k
regnetx_004,in1k
regnetx_006,in1k
regnetx_008,in1k
regnetx_016,in1k
regnetx_032,in1k
regnetx_040,in1k
regnetx_064,in1k
regnetx_080,in1k
regnetx_120,in1k
regnetx_160,in1k
regnetx_320,in1k
regnety_002,in1k
regnety_004,in1k
regnety_006,in1k
regnety_008,in1k
regnety_016,in1k
regnety_032,in1k
regnety_040,in1k
regnety_064,in1k
regnety_080,in1k
regnety_120,in1k
regnety_160,in1k
regnety_320,in1k
regnetz_b,in1k
regnetz_c,in1k
regnetz_d,in1k
repvgg_a2,in1k
repvgg_b0,in1k
repvgg_b1,in1k
repvgg_b1g4,in1k
repvgg_b2,in1k
repvgg_b2g4,in1k
repvgg_b3,in1k
repvgg_b3g4,in1k
res2net101_26w_4s,in1k
res2net50_14w_8s,in1k
res2net50_26w_4s,in1k
res2net50_26w_6s,in1k
res2net50_26w_8s,in1k
res2net50_48w_2s,in1k
res2next50,in1k
resmlp_12_224,in1k
resmlp_12_distilled_224,in1k-dist
resmlp_24_224,in1k
resmlp_24_distilled_224,in1k-dist
resmlp_36_224,in1k
resmlp_36_distilled_224,in1k-dist
resmlp_big_24_224,in1k
resmlp_big_24_224_in22ft1k,in21k
resmlp_big_24_distilled_224,in1k-dist
resnest101e,in1k
resnest14d,in1k
resnest200e,in1k
resnest269e,in1k
resnest26d,in1k
resnest50d,in1k
resnest50d_1s4x24d,in1k
resnest50d_4s2x40d,in1k
resnet101d,in1k
resnet152d,in1k
resnet18,in1k
resnet18d,in1k
resnet200d,in1k
resnet26,in1k
resnet26d,in1k
resnet26t,in1k
resnet32ts,in1k
resnet33ts,in1k
resnet34,in1k
resnet34d,in1k
resnet50,in1k
resnet50d,in1k
resnet51q,in1k
resnet61q,in1k
resnetblur50,in1k
resnetrs101,in1k
resnetrs152,in1k
resnetrs200,in1k
resnetrs270,in1k
resnetrs350,in1k
resnetrs420,in1k
resnetrs50,in1k
resnetv2_101,in1k
resnetv2_101x1_bitm,in21k
resnetv2_101x3_bitm,in21k
resnetv2_152x2_bit_teacher,in21k
resnetv2_152x2_bit_teacher_384,in21k
resnetv2_152x2_bitm,in21k
resnetv2_152x4_bitm,in21k
resnetv2_50,in1k
resnetv2_50x1_bit_distilled,in1k-dist
resnetv2_50x1_bitm,in21k
resnetv2_50x3_bitm,in21k
resnext101_32x8d,in1k
resnext26ts,in1k
resnext50_32x4d,in1k
resnext50d_32x4d,in1k
rexnet_100,in1k
rexnet_130,in1k
rexnet_150,in1k
rexnet_200,in1k
sehalonet33ts,in1k
selecsls42b,in1k
selecsls60,in1k
selecsls60b,in1k
semnasnet_100,in1k
seresnet152d,in1k
seresnet33ts,in1k
seresnet50,in1k
seresnext26d_32x4d,in1k
seresnext26t_32x4d,in1k
seresnext26ts,in1k
seresnext50_32x4d,in1k
skresnet18,in1k
skresnet34,in1k
skresnext50_32x4d,in1k
spnasnet_100,in1k
ssl_resnet18,yfc-semisl
ssl_resnet50,yfc-semisl
ssl_resnext101_32x16d,yfc-semisl
ssl_resnext101_32x4d,yfc-semisl
ssl_resnext101_32x8d,yfc-semisl
ssl_resnext50_32x4d,yfc-semisl
swin_base_patch4_window12_384,in21k
swin_base_patch4_window7_224,in21k
swin_large_patch4_window12_384,in21k
swin_large_patch4_window7_224,in21k
swin_small_patch4_window7_224,in1k
swin_tiny_patch4_window7_224,in1k
swsl_resnet18,ig1b-swsl
swsl_resnet50,ig1b-swsl
swsl_resnext101_32x16d,ig1b-swsl
swsl_resnext101_32x4d,ig1b-swsl
swsl_resnext101_32x8d,ig1b-swsl
swsl_resnext50_32x4d,ig1b-swsl
tf_efficientnet_b0,in1k
tf_efficientnet_b0_ap,in1k-ap
tf_efficientnet_b0_ns,jft300m-ns
tf_efficientnet_b1,in1k
tf_efficientnet_b1_ap,in1k-ap
tf_efficientnet_b1_ns,jft300m-ns
tf_efficientnet_b2,in1k
tf_efficientnet_b2_ap,in1k-ap
tf_efficientnet_b2_ns,jft300m-ns
tf_efficientnet_b3,in1k
tf_efficientnet_b3_ap,in1k-ap
tf_efficientnet_b3_ns,jft300m-ns
tf_efficientnet_b4,in1k
tf_efficientnet_b4_ap,in1k-ap
tf_efficientnet_b4_ns,jft300m-ns
tf_efficientnet_b5,in1k
tf_efficientnet_b5_ap,in1k-ap
tf_efficientnet_b5_ns,jft300m-ns
tf_efficientnet_b6,in1k
tf_efficientnet_b6_ap,in1k-ap
tf_efficientnet_b6_ns,jft300m-ns
tf_efficientnet_b7,in1k
tf_efficientnet_b7_ap,in1k-ap
tf_efficientnet_b7_ns,jft300m-ns
tf_efficientnet_b8,in1k
tf_efficientnet_b8_ap,in1k-ap
tf_efficientnet_cc_b0_4e,in1k
tf_efficientnet_cc_b0_8e,in1k
tf_efficientnet_cc_b1_8e,in1k
tf_efficientnet_el,in1k
tf_efficientnet_em,in1k
tf_efficientnet_es,in1k
tf_efficientnet_l2_ns,jft300m-ns
tf_efficientnet_l2_ns_475,jft300m-ns
tf_efficientnet_lite0,in1k
tf_efficientnet_lite1,in1k
tf_efficientnet_lite2,in1k
tf_efficientnet_lite3,in1k
tf_efficientnet_lite4,in1k
tf_efficientnetv2_b0,in1k
tf_efficientnetv2_b1,in1k
tf_efficientnetv2_b2,in1k
tf_efficientnetv2_b3,in1k
tf_efficientnetv2_l,in1k
tf_efficientnetv2_l_in21ft1k,in21k
tf_efficientnetv2_m,in1k
tf_efficientnetv2_m_in21ft1k,in21k
tf_efficientnetv2_s,in1k
tf_efficientnetv2_s_in21ft1k,in21k
tf_efficientnetv2_xl_in21ft1k,in21k
tf_inception_v3,in1k
tf_mixnet_l,in1k
tf_mixnet_m,in1k
tf_mixnet_s,in1k
tf_mobilenetv3_large_075,in1k
tf_mobilenetv3_large_100,in1k
tf_mobilenetv3_large_minimal_100,in1k
tf_mobilenetv3_small_075,in1k
tf_mobilenetv3_small_100,in1k
tf_mobilenetv3_small_minimal_100,in1k
tnt_s_patch16_224,in1k
tresnet_l,in1k
tresnet_l_448,in1k
tresnet_m,in21k
tresnet_m_448,in1k
tresnet_xl,in1k
tresnet_xl_448,in1k
tv_densenet121,in1k
tv_resnet101,in1k
tv_resnet152,in1k
tv_resnet34,in1k
tv_resnet50,in1k
tv_resnext50_32x4d,in1k
twins_pcpvt_base,in1k
twins_pcpvt_large,in1k
twins_pcpvt_small,in1k
twins_svt_base,in1k
twins_svt_large,in1k
twins_svt_small,in1k
vgg11,in1k
vgg11_bn,in1k
vgg13,in1k
vgg13_bn,in1k
vgg16,in1k
vgg16_bn,in1k
vgg19,in1k
vgg19_bn,in1k
visformer_small,in1k
vit_base_patch16_224,in21k
vit_base_patch16_224_miil,in21k
vit_base_patch16_384,in21k
vit_base_patch16_224_sam,in1k
vit_base_patch32_224,in21k
vit_base_patch32_384,in21k
vit_base_patch32_224_sam,in1k
vit_base_r50_s16_384,in21k
vit_large_patch16_224,in21k
vit_large_patch16_384,in21k
vit_large_patch32_384,in21k
vit_large_r50_s32_224,in21k
vit_large_r50_s32_384,in21k
vit_small_patch16_224,in21k
vit_small_patch16_384,in21k
vit_small_patch32_224,in21k
vit_small_patch32_384,in21k
vit_small_r26_s32_224,in21k
vit_small_r26_s32_384,in21k
vit_tiny_patch16_224,in21k
vit_tiny_patch16_384,in21k
vit_tiny_r_s16_p8_224,in21k
vit_tiny_r_s16_p8_384,in21k
wide_resnet101_2,in1k
wide_resnet50_2,in1k
xception,in1k
xception41,in1k
xception65,in1k
xception71,in1k
xcit_large_24_p16_224,in1k
xcit_large_24_p16_224_dist,in1k-dist
xcit_large_24_p16_384_dist,in1k-dist
xcit_large_24_p8_224,in1k
xcit_large_24_p8_224_dist,in1k-dist
xcit_large_24_p8_384_dist,in1k-dist
xcit_medium_24_p16_224,in1k
xcit_medium_24_p16_224_dist,in1k-dist
xcit_medium_24_p16_384_dist,in1k-dist
xcit_medium_24_p8_224,in1k
xcit_medium_24_p8_224_dist,in1k-dist
xcit_medium_24_p8_384_dist,in1k-dist
xcit_nano_12_p16_224,in1k
xcit_nano_12_p16_224_dist,in1k-dist
xcit_nano_12_p16_384_dist,in1k-dist
xcit_nano_12_p8_224,in1k
xcit_nano_12_p8_224_dist,in1k-dist
xcit_nano_12_p8_384_dist,in1k-dist
xcit_small_12_p16_224,in1k
xcit_small_12_p16_224_dist,in1k-dist
xcit_small_12_p16_384_dist,in1k-dist
xcit_small_12_p8_224,in1k
xcit_small_12_p8_224_dist,in1k-dist
xcit_small_12_p8_384_dist,in1k-dist
xcit_small_24_p16_224,in1k
xcit_small_24_p16_224_dist,in1k-dist
xcit_small_24_p16_384_dist,in1k-dist
xcit_small_24_p8_224,in1k
xcit_small_24_p8_224_dist,in1k-dist
xcit_small_24_p8_384_dist,in1k-dist
xcit_tiny_12_p16_224,in1k
xcit_tiny_12_p16_224_dist,in1k-dist
xcit_tiny_12_p16_384_dist,in1k-dist
xcit_tiny_12_p8_224,in1k
xcit_tiny_12_p8_224_dist,in1k-dist
xcit_tiny_12_p8_384_dist,in1k-dist
xcit_tiny_24_p16_224,in1k
xcit_tiny_24_p16_224_dist,in1k-dist
xcit_tiny_24_p16_384_dist,in1k-dist
xcit_tiny_24_p8_224,in1k
xcit_tiny_24_p8_224_dist,in1k-dist
xcit_tiny_24_p8_384_dist,in1k-dist
